step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.01177978515625,11.215028061659623,10.808531508652877
2,11.007232666015625,11.210438974300711,10.804026357730539
4,10.821868896484375,11.023356924705412,10.620380868263338
8,10.3155517578125,10.512269868143012,10.118833647481988
16,9.7138671875,9.904762029273414,9.522972345726586
256,6.6602630615234375,6.818331005422598,6.502195117624277
1000,6.096710205078125,6.247942968799373,5.945477441356877
8000,5.8469390869140625,5.995041589588148,5.698836584239977
33000,5.7089996337890625,5.855344711726391,5.562654555851734
66000,5.6777496337890625,5.82369362926955,5.531805638308575
131000,5.68798828125,5.834063807369426,5.541912755130574
143000,5.6942901611328125,5.840446585413349,5.548133736852276
