step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2839138507843018,3.080325126647949,3.1729212595844176,2.972828114841881,3.394906441984186,3.1878221384540173
1,3.2839138507843018,3.080325126647949,3.1729212595844176,2.972828114841881,3.394906441984186,3.1878221384540173
2,3.2839133739471436,3.0802879333496094,3.1729207908055392,2.97279157053031,3.394905957088748,3.1877842961689087
4,3.283905267715454,3.0797221660614014,3.172912821564697,2.9722356758124455,3.3948977138662113,3.187208656310357
8,3.2836456298828125,3.065485954284668,3.1726575715577447,2.9582481833709284,3.3946336882078803,3.1727237251984075
16,3.2824907302856445,3.014820098876953,3.1715221916272704,2.908472224555497,3.3934592689440186,3.121167973198409
32,3.2821621894836426,2.83758807182312,3.1711992043222894,2.7344134732959082,3.3931251746449957,2.940762670350332
64,3.2710342407226562,2.5146524906158447,3.1602595215180473,2.4175261332861204,3.381808959927265,2.611778847945569
128,3.2517948150634766,1.9378968477249146,3.14134635124626,1.8526332918282207,3.362243278880693,2.0231604036216084
256,3.6394784450531006,0.527016818523407,3.5226314122383444,0.482552632112164,3.7563254778678568,0.5714810049346499
1000,3.8536124229431152,2.9955198764801025,3.7333770847255177,2.889512956691646,3.973847761160713,3.101526796268559
2000,5.148872375488281,4.545262813568115,5.009891777403541,4.4146825284299975,5.287852973573021,4.675843098706233
4000,6.149614334106445,5.283857345581055,5.997726827459551,5.143066747225122,6.30150184075334,5.4246479439369875
8000,6.318643093109131,5.5133795738220215,6.164682340561473,5.36956362225377,6.4726038456567885,5.657195525390273
16000,6.6641340255737305,5.798221111297607,6.50602015357514,5.65073691050072,6.822247897572321,5.9457053120944945
33000,6.993519306182861,6.061207294464111,6.831545047201113,5.910415509775861,7.155493565164609,6.211999079152362
66000,7.15377140045166,7.233116149902344,6.989951883219834,7.068390650742723,7.317590917683487,7.397841649061965
131000,7.657876491546631,9.757915496826172,7.488383286725018,9.566588330620759,7.827369696368244,9.949242663031585
143000,7.287515640258789,9.520710945129395,7.122171860026976,9.331723565839905,7.4528594204906025,9.709698324418884
