step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,6.031894683837891,3.7315778732299805,5.881467963206193,3.6132616311461225,6.182321404469588,3.8498941153138384
1,6.031894683837891,3.7315778732299805,5.881467963206193,3.6132616311461225,6.182321404469588,3.8498941153138384
2,6.020486831665039,3.720585584640503,5.870202426012307,3.602443736006346,6.170771237317771,3.8387274332746597
4,5.794937610626221,3.503424644470215,5.647495175488278,3.388782446745479,5.942380045764163,3.618066842194951
8,4.978038787841797,2.739863634109497,4.841383245269478,2.638481229725402,5.114694330414116,2.8412460384935923
16,4.127110004425049,1.919960618019104,4.002681140733367,1.8350925583601936,4.2515388681167305,2.0048286776780144
32,3.1547064781188965,1.0957854986190796,3.04591933006765,1.0316703154854354,3.263493626170143,1.1599006817527238
64,2.491753101348877,1.0758413076400757,2.395069990335408,1.0123122782204084,2.588436212362346,1.139370337059743
128,1.6413662433624268,1.204260230064392,1.5628967476872426,1.1370464555275297,1.7198357390376109,1.2714740046012545
256,1.3430241346359253,2.042056083679199,1.272043476588827,1.9545311187417242,1.4140047926830235,2.129581048616674
1000,2.9427618980407715,4.621750354766846,2.8376926377249596,4.49007595287847,3.0478311583565834,4.753424756655221
2000,4.111195087432861,5.859928131103516,3.987006366093036,5.711661213962117,4.235383808772687,6.0081950482449145
4000,4.970088481903076,6.916585445404053,4.833542107574706,6.7555045682258115,5.106634856231446,7.077666322582294
8000,5.47529935836792,7.506241321563721,5.331980926659617,7.338434591754347,5.618617790076223,7.674048051373094
16000,5.76688814163208,7.67655086517334,5.61980297511086,7.506851124496265,5.913973308153301,7.846250605850415
33000,6.1762237548828125,8.136739730834961,6.024007993833275,7.9620274936254,6.32843951593235,8.311451968044521
66000,6.551362037658691,8.674582481384277,6.394591693188205,8.494188350736898,6.708132382129178,8.854976612031656
131000,7.144834995269775,9.427967071533203,6.981117830697549,9.239902434030409,7.308552159842002,9.616031709035997
143000,7.128807544708252,9.399081230163574,6.965274110197802,9.211304914238756,7.292340979218702,9.586857546088392
