step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2834649085998535,3.1502950191497803,3.172479904529499,3.0415839602583565,3.394449912670208,3.259006078041204
1,3.2834649085998535,3.1502950191497803,3.172479904529499,3.0415839602583565,3.394449912670208,3.259006078041204
2,3.283459186553955,3.149812698364258,3.172474279189608,3.0411099618061543,3.394444093918302,3.2585154349223613
4,3.2833364009857178,3.1408843994140625,3.172353568791419,3.032335833810281,3.3943192331800165,3.249432965017844
8,3.2809457778930664,3.024420976638794,3.170003356793119,2.917903901284682,3.391888198993014,3.130938051992906
16,3.280324697494507,2.655913829803467,3.169392777547118,2.5560966942245607,3.3912566174418957,2.755730965382373
32,3.2903802394866943,2.068380832672119,3.17927842369997,1.9802935191755329,3.401482055273419,2.1564681461687054
64,3.3102736473083496,1.576172113418579,3.1988364807472074,1.4992767891995988,3.421710813869492,1.6530674376375594
128,3.725292682647705,0.6221054196357727,3.6070761240694162,0.5737961907719273,3.843509241225994,0.6704146484996181
256,3.7625129222869873,1.6130551099777222,3.6437072673466777,1.5352652991510662,3.881318577227297,1.690844920804378
1000,5.321955680847168,4.517575263977051,5.180658421076552,4.387393302433665,5.463252940617784,4.6477572255204365
2000,6.467770576477051,5.627871036529541,6.3120035907609005,5.482569508600341,6.623537562193201,5.773172564458741
4000,7.190079689025879,6.270119667053223,7.0258449727382315,6.116751217398728,7.354314405313526,6.423488116707717
8000,7.379385948181152,6.460860729217529,7.213003226129811,6.3051769726213465,7.545768670232493,6.616544485813712
16000,7.58560037612915,6.848457336425781,7.416908917894913,6.688171742792031,7.7542918343633875,7.008742930059531
33000,7.788245677947998,6.9034600257873535,7.617315819065747,6.742532060628752,7.959175536830249,7.064387990945955
66000,8.005897521972656,7.094619274139404,7.832595701018996,6.931478446991419,8.179199342926317,7.257760101287389
131000,7.694746017456055,7.547904968261719,7.524845282530396,7.379633174428951,7.864646752381713,7.716176762094486
143000,8.022466659545898,8.058042526245117,7.848985597130897,7.88417723586434,8.1959477219609,8.231907816625895
