step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.283400058746338,3.122107744216919,3.1724161506823356,3.0138841243926375,3.39438396681034,3.2303313640412004
1,3.283400058746338,3.122107744216919,3.1724161506823356,3.0138841243926375,3.39438396681034,3.2303313640412004
2,3.283369541168213,3.117565155029297,3.172386148875651,3.0094202952027196,3.394352933460775,3.225710014855874
4,3.282336711883545,2.943746566772461,3.171370776644175,2.8386597294718556,3.3933026471229146,3.0488334040730662
8,3.2831504344940186,2.4543187618255615,3.172170745349605,2.3583646485632173,3.394130123638432,2.550272875087906
16,3.338574171066284,1.8347810506820679,3.2266616633960896,1.7518169450494334,3.4504866787364787,1.9177451563147023
32,3.366227388381958,1.819810152053833,3.253852354083602,1.7371852125647058,3.478602422680314,1.9024350915429602
64,3.3457791805267334,1.8811825513839722,3.2337459782027005,1.7971759173839974,3.4578123828507663,1.965189185383947
128,3.4944355487823486,1.242203712463379,3.3799405201383226,1.173939273683763,3.6089305774263747,1.3104681512429948
256,3.837297201156616,1.3218528032302856,3.7173166559359303,1.2514338344596279,3.957277746377302,1.3922717720009434
1000,5.063404560089111,4.1436285972595215,4.925582281134413,4.018950971457582,5.20122683904381,4.268306223061461
2000,6.573726177215576,5.6586833000183105,6.416688480182831,5.512984556363106,6.730763874248321,5.804382043673515
4000,7.576426029205322,6.650376796722412,7.407836613137222,6.492426211692666,7.745015445273422,6.808327381752158
8000,8.044018745422363,7.060321807861328,7.8703048137921865,6.897575793707983,8.21773267705254,7.223067822014674
16000,8.390741348266602,7.426392555236816,8.213323102997528,7.259480746365558,8.568159593535675,7.593304364108075
33000,8.750394821166992,7.8423590660095215,8.569214119516095,7.670836417492568,8.931575522817889,8.013881714526475
66000,9.0591402053833,8.2566499710083,8.874790858518901,8.080655084551065,9.2434895522477,8.432644857465537
131000,9.100147247314453,8.322446823120117,8.915381134305553,8.145752080723359,9.284913360323353,8.499141565516876
143000,9.16932201385498,8.393526077270508,8.983854980559672,8.216078393556888,9.35478904715029,8.570973760984128
