step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss,mean_logit_token_js_div,mean_bigram_token_js_div,mean_bigram_logit_kl_div,mean_bigram_logit_js_div,mean_unigram_logit_kl_div,mean_unigram_logit_js_div,bottom_conf_logit_token_js_div,bottom_conf_bigram_token_js_div,bottom_conf_bigram_logit_kl_div,bottom_conf_bigram_logit_js_div,bottom_conf_unigram_logit_kl_div,bottom_conf_unigram_logit_js_div,top_conf_logit_token_js_div,top_conf_bigram_token_js_div,top_conf_bigram_logit_kl_div,top_conf_bigram_logit_js_div,top_conf_unigram_logit_kl_div,top_conf_unigram_logit_js_div
0,11.0745849609375,11.052734375,10.87075789996452,11.27841202191048,10.849108492660289,11.256360257339711,0.6884765625,0.5891922116279602,11.130489349365234,0.6932334303855896,11.503307342529297,0.693271279335022,0.6376556225888383,0.5421782756699886,10.92614847757368,0.6422372249895056,11.295572438176562,0.6422736818202304,0.7392975024111617,0.6362061475859319,11.334830221156789,0.7442296357816736,11.711042246882032,0.7442688768498136
1,11.0743408203125,11.052734375,10.870516006048561,11.278165634576439,10.849108492660289,11.256360257339711,0.6884765625,0.5891922116279602,11.130489349365234,0.6932334303855896,11.503307342529297,0.693271279335022,0.6376556225888383,0.5421782756699886,10.92614847757368,0.6422372249895056,11.295572438176562,0.6422736818202304,0.7392975024111617,0.6362061475859319,11.334830221156789,0.7442296357816736,11.711042246882032,0.7442688768498136
2,11.07403564453125,11.052734375,10.870213638688439,11.277857650374061,10.849108492660289,11.256360257339711,0.6884765625,0.5891922116279602,11.13035774230957,0.6932347416877747,11.503140449523926,0.6932726502418518,0.6376556225888383,0.5421782756699886,10.926018078586194,0.6422384880601708,11.295407052112942,0.642275002304576,0.7392975024111617,0.6362061475859319,11.334697406032946,0.7442309953153785,11.71087384693491,0.7442702981791276
4,11.074951171875,11.05230712890625,10.871120740884892,11.278781602865108,10.848685182208191,11.255929075604309,0.6884765625,0.5891922116279602,11.128381729125977,0.6932339072227478,11.500482559204102,0.6932715177536011,0.6376556225888383,0.5421782756699886,10.924060204792251,0.642237684287924,11.292773162390427,0.6422739114696782,0.7392975024111617,0.6362061475859319,11.332703253459702,0.7442301301575716,11.708191956017776,0.744269124037524
8,11.05780029296875,11.0345458984375,10.854127750960592,11.261472834976908,10.831087629351,11.238004167524,0.6884765625,0.5891922116279602,11.077794075012207,0.6932719349861145,11.432316780090332,0.6933102607727051,0.6376556225888383,0.5421782756699886,10.873937484403854,0.6422743133562155,11.225223866783193,0.6423112295249833,0.7392975024111617,0.6362061475859319,11.28165066562056,0.7442695566160135,11.639409693397472,0.7443092920204268
16,11.00225830078125,10.971435546875,10.7990979139668,11.2054186875957,10.768559935890236,11.174311157859764,0.6884765625,0.5891922116279602,10.896638870239258,0.6932099461555481,11.185705184936523,0.693250834941864,0.6376556225888383,0.5421782756699886,10.69445598412498,0.6422146045498622,10.98085809579431,0.6422539893856862,0.7392975024111617,0.6362061475859319,11.098821756353535,0.744205287761234,11.390552274078736,0.7442476804980418
32,10.79486083984375,10.739990234375,10.59362439476602,10.99609728492148,10.539265886358306,10.940714582391694,0.6883316040039062,0.5891922116279602,10.220503807067871,0.6929014325141907,10.192126274108887,0.6929540038108826,0.6375160145398314,0.5421782756699886,10.024694078738065,0.6419174399301664,9.99658857050029,0.6419680771539602,0.7391471934679811,0.6362061475859319,10.416313535397677,0.743885425098215,10.387663977717484,0.7439399304678049
64,10.40869140625,10.313232421875,10.211087202592418,10.606295609907582,10.116536427716381,10.509928416033619,0.6880264282226562,0.5891922116279602,9.081559181213379,0.6916837096214294,8.4067964553833,0.6916681528091431,0.6372221046995618,0.5421782756699886,8.896981867365145,0.6407445370314085,8.229208552420781,0.6407295530644783,0.7388307517457507,0.6362061475859319,9.266136495061613,0.7426228822114503,8.58438435834582,0.7426067525538078
128,9.827392578125,9.56024169921875,9.63538548825025,10.01939966799975,9.370862380983558,9.749621017453942,0.6859245300292969,0.5891922116279602,7.680675029754639,0.6836905479431152,7.926452159881592,0.6871857643127441,0.6351978686372064,0.5421782756699886,7.510929710295005,0.6330465595479695,7.754012350505103,0.6364124878639822,0.7366511914213874,0.6362061475859319,7.850420349214272,0.734334536338261,8.098891969258082,0.7379590407615061
256,8.41363525390625,7.777801513671875,8.235975133125471,8.591295374687029,7.6069863031009035,7.9486167242428465,0.6657524108886719,0.5891922116279602,4.635354042053223,0.6220887899398804,5.684849739074707,0.6607939004898071,0.6157772171280393,0.5421782756699886,4.5034859969467576,0.5737802067649554,5.538814519601288,0.611005161668901,0.7157276046493044,0.6362061475859319,4.767222087159688,0.6703973731148053,5.830884958548126,0.7105826393107133
