step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2866272926330566,3.130394697189331,3.175588855261816,3.0220275445675355,3.3976657300042974,3.2387618498111266
1,3.2866272926330566,3.130394697189331,3.175588855261816,3.0220275445675355,3.3976657300042974,3.2387618498111266
2,3.2866291999816895,3.130359172821045,3.1755907303906437,3.021992635087456,3.3976676695727352,3.238725710554634
4,3.2866201400756836,3.129788875579834,3.1755818235287947,3.021432209549319,3.3976584566225725,3.238145541610349
8,3.286250591278076,3.115264892578125,3.175218517501595,3.0071599368836877,3.3972826650545573,3.2233698482725623
16,3.284776210784912,3.0632805824279785,3.173769047143053,2.9560813929522785,3.395783374426771,3.1704797719036786
32,3.2812554836273193,2.8741283416748047,3.1703078264315163,2.7702915666404047,3.3922031408231224,2.9779651167092047
64,3.2696990966796875,2.510009527206421,3.158946987342605,2.4129728766003073,3.38045120601677,2.6070461778125344
128,3.2528083324432373,1.9376182556152344,3.1423426577128306,1.852360828684516,3.363274007173644,2.0228756825459526
256,3.649768829345703,0.5376660823822021,3.5327567245073754,0.4927549057783701,3.766780934184031,0.5825772589860342
1000,3.8770904541015625,2.9958925247192383,3.756489406756848,2.8898790114069315,3.997691501446277,3.101906038031545
2000,5.256573677062988,4.5066142082214355,5.11614704155762,4.3765902737449105,5.397000312568356,4.636638142697961
4000,5.814167022705078,5.119194984436035,5.666480160156334,4.980615497684724,5.961853885253822,5.257774471187346
8000,6.421525001525879,5.472107410430908,6.266315894028238,5.328830760151736,6.57673410902352,5.61538406071008
16000,6.354830741882324,5.6136579513549805,6.200429742656492,5.468540017588083,6.509231741108157,5.758775885121878
33000,6.6598381996154785,5.658843040466309,6.501775297418022,5.513142240341684,6.817901101812935,5.8045438405909335
66000,7.00247859954834,6.284470081329346,6.840400622369201,6.130926224900691,7.164556576727478,6.438013937758001
131000,6.895015239715576,7.76322603225708,6.734185733742242,7.592570949290185,7.05584474568891,7.933881115223975
143000,6.717566013336182,8.015110969543457,6.5588195406406085,7.841709456574293,6.876312486031755,8.188512482512621
