step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2860021591186523,3.1593177318573,3.1749742822922253,3.050451105419391,3.3970300359450794,3.268184358295209
1,3.2860021591186523,3.1593177318573,3.1749742822922253,3.050451105419391,3.3970300359450794,3.268184358295209
2,3.2859914302825928,3.157670259475708,3.1749637347099817,3.048832021785536,3.397019125855204,3.26650849716588
4,3.285695791244507,3.087247371673584,3.174673090337911,2.979629641592918,3.396718492151103,3.19486510175425
8,3.2843754291534424,2.7960920333862305,3.173375037813019,2.6936746104513167,3.3953758204938658,2.898509456321144
16,3.2993078231811523,2.2011306285858154,3.188055386675423,2.110260525399956,3.4105602596868816,2.292000731771675
32,3.3251216411590576,1.8487560749053955,3.2134348325332973,1.7654766112093958,3.436808449784818,1.9320355386013952
64,3.335662841796875,1.6864434480667114,3.2237991401742963,1.6069037379372535,3.4475265434194537,1.7659831581961694
128,3.6458239555358887,0.822882890701294,3.5288751044003384,0.7673222648639242,3.762772806671439,0.8784435165386637
256,3.9130947589874268,1.5030097961425781,3.7919350294698932,1.4279203297191478,4.034254488504961,1.5780992625660084
1000,5.329746246337891,4.483442783355713,5.188345605116058,4.3537535483251535,5.471146887559724,4.613132018386272
2000,6.877501487731934,6.195000171661377,6.71687636992317,6.042553209657379,7.038126605540697,6.347447133665375
4000,7.55022668838501,6.6607136726379395,7.38192901651237,6.502640381655112,7.71852436025765,6.8187869636207665
8000,8.067469596862793,7.158879280090332,7.893502634067865,6.995001288732278,8.241436559657721,7.322757271448386
16000,8.252555847167969,7.26716947555542,8.076604600334978,7.102056670001277,8.42850709400096,7.432282281109563
33000,8.488924026489258,7.61847448348999,8.31047078703522,7.44941788699869,8.667377265943296,7.7875310799812905
66000,8.643389701843262,7.768026351928711,8.463320201342516,7.5973185156121446,8.823459202344008,7.938734188245277
131000,8.893513679504395,9.746404647827148,8.710857318375536,9.555190363722243,9.076170040633253,9.937618931932054
143000,8.903743743896484,10.353272438049316,8.72098235963723,10.156194988246218,9.08650512815574,10.550349887852414
