step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss,mean_logit_token_js_div,mean_bigram_token_js_div,mean_bigram_logit_kl_div,mean_bigram_logit_js_div,mean_unigram_logit_kl_div,mean_unigram_logit_js_div,bottom_conf_logit_token_js_div,bottom_conf_bigram_token_js_div,bottom_conf_bigram_logit_kl_div,bottom_conf_bigram_logit_js_div,bottom_conf_unigram_logit_kl_div,bottom_conf_unigram_logit_js_div,top_conf_logit_token_js_div,top_conf_bigram_token_js_div,top_conf_bigram_logit_kl_div,top_conf_bigram_logit_js_div,top_conf_unigram_logit_kl_div,top_conf_unigram_logit_js_div
0,11.00006103515625,11.006561279296875,10.796920935977841,11.203201134334659,10.803361168395869,11.209761390197881,0.68798828125,0.5891920924186707,10.944674491882324,0.6928332448005676,11.023701667785645,0.6928568482398987,0.6371853661451904,0.5421781612167854,10.742046454701809,0.641851760919265,10.820343397863523,0.6418744959475302,0.7387911963548096,0.6362060236205559,11.14730252906284,0.7438147286818703,11.227059937707766,0.7438392005322672
1,10.99981689453125,11.00701904296875,10.796679049659694,11.202954739402806,10.803814706558097,11.210223379379403,0.68798828125,0.5891920924186707,10.944681167602539,0.6928343176841736,11.023698806762695,0.6928575038909912,0.6371853661451904,0.5421781612167854,10.742053068625399,0.6418527943293197,10.820340563229745,0.6418751274763043,0.7387911963548096,0.6362060236205559,11.14730926657968,0.7438158410390274,11.227057050295645,0.7438398803056782
2,10.9940185546875,11.00067138671875,10.790934256958307,11.197102852416693,10.797525651882653,11.203817121554847,0.68798828125,0.5891920924186707,10.92651081085205,0.6928343772888184,10.985384941101074,0.6928558349609375,0.6371853661451904,0.5421781612167854,10.724050983302861,0.6418528517409904,10.782380400182628,0.6418735199485381,0.7387911963548096,0.6362060236205559,11.12897063840124,0.7438159028366463,11.18838948201952,0.7438381499733369
4,10.72674560546875,10.714996337890625,10.526145062947952,10.927346147989548,10.514505686817149,10.915486988964101,0.6880073547363281,0.5891920924186707,10.068159103393555,0.692762017250061,9.155230522155762,0.6925292015075684,0.6372037354174954,0.5421781612167854,9.873814203704775,0.641783154042333,8.969906057310089,0.6415589052239317,0.7388109740551608,0.6362060236205559,10.262504003082334,0.7437408804577891,9.340554987001434,0.743499497791205
8,9.955108642578125,9.89398193359375,9.761857925239344,10.148359359916906,9.701325432249146,10.086638434938354,0.6814041137695312,0.5891920924186707,7.498460292816162,0.6669613718986511,3.890023946762085,0.6348745822906494,0.6308448794488362,0.5421781612167854,7.330740560445672,0.6169408229460276,3.7692219118307344,0.5860720808721559,0.7319633480902263,0.6362060236205559,7.6661800251866525,0.7169819208512747,4.0108259816934355,0.6836770837091429
16,9.417266845703125,9.30364990234375,9.229308960025676,9.605224731380574,9.11682928948564,9.49047051520186,0.6744594573974609,0.5891920924186707,6.138571739196777,0.6397016048431396,4.109513282775879,0.6389071941375732,0.6241585248003731,0.5421781612167854,5.986820662716603,0.5907139292910885,3.985349965549701,0.5899499456026916,0.7247603899945487,0.6362060236205559,6.2903228156769515,0.6886892803951908,4.233676600002057,0.6878644426724548
32,9.502044677734375,8.90399169921875,9.31324265328691,9.69084670218184,8.721227770168015,9.086755628269485,0.6636886596679688,0.5891920924186707,5.337134838104248,0.6071081757545471,5.083226680755615,0.6418802738189697,0.6137909845292002,0.5421781612167854,5.1956362194428785,0.5593848003149632,4.945134893280959,0.5928092490849307,0.7135863348067373,0.6362060236205559,5.478633456765618,0.6548315511941311,5.221318468230272,0.6909512985530087
64,9.47900390625,8.177276611328125,9.290430926430965,9.667576886069035,8.002129710462999,8.352423512193251,0.6444263458251953,0.5891920924186707,4.04879903793335,0.5651045441627502,5.1677165031433105,0.6432293653488159,0.595258095239258,0.5421781612167854,3.925556332546217,0.5190616608335967,5.028481812894795,0.594106799417858,0.6935945964111326,0.6362060236205559,4.172041743320483,0.6111474274919038,5.306951193391826,0.6923519312797738
128,8.93902587890625,7.20904541015625,8.755902745887457,9.122149011925043,7.044594230447953,7.373496589864547,0.6216516494750977,0.5891920924186707,3.3952109813690186,0.5444610714912415,5.293650150299072,0.6539682745933533,0.5733600424521121,0.5421781612167854,3.2823532031783147,0.4992669936331637,5.152729145639605,0.6044373479689086,0.6699432564980832,0.6362060236205559,3.5080687595597224,0.5896551493493193,5.434571154958539,0.703499201217798
256,9.279754638671875,6.5199737548828125,9.093174092772761,9.466335184570989,6.363579413142744,6.676368096622881,0.5961446762084961,0.5891920924186707,3.034479856491089,0.5202181339263916,5.134310245513916,0.6406047344207764,0.548854171652888,0.5421781612167854,2.9277857963395624,0.4760416795602052,4.99552632025257,0.5915824907090256,0.6434351807641042,0.6362060236205559,3.1411739166426154,0.564394588292578,5.273094170775262,0.6896269781325272
