step,mean_logit_token_js_div,mean_bigram_token_js_div,mean_bigram_logit_js_div,mean_unigram_logit_js_div,bottom_conf_logit_token_js_div,bottom_conf_bigram_token_js_div,bottom_conf_bigram_logit_js_div,bottom_conf_unigram_logit_js_div,top_conf_logit_token_js_div,top_conf_bigram_token_js_div,top_conf_bigram_logit_js_div,top_conf_unigram_logit_js_div
0,0.6879911422729492,0.583657443523407,0.6928842067718506,0.6928854584693909,0.6625896319041815,0.560261146226218,0.6673925273512349,0.6673937560233852,0.7133926526417169,0.6070537408205959,0.7183758861924663,0.7183771609153965
1,0.6879911422729492,0.583657443523407,0.6928842067718506,0.6928854584693909,0.6625896319041815,0.560261146226218,0.6673925273512349,0.6673937560233852,0.7133926526417169,0.6070537408205959,0.7183758861924663,0.7183771609153965
2,0.6879911422729492,0.583657443523407,0.6928839683532715,0.6928849816322327,0.6625896319041815,0.560261146226218,0.6673922933184467,0.6673932879578017,0.7133926526417169,0.6070537408205959,0.7183756433880962,0.7183766753066636
4,0.687990665435791,0.583657443523407,0.6928826570510864,0.6928777694702148,0.6625891638697429,0.560261146226218,0.6673910061381251,0.6673862084662185,0.7133921670018392,0.6070537408205959,0.7183743079640478,0.7183693304742111
8,0.6871366500854492,0.583657443523407,0.6905381679534912,0.6873677968978882,0.6617509190883887,0.560261146226218,0.6650896813043375,0.6619777964899239,0.7125223810825098,0.6070537408205959,0.7159866546026449,0.7127577973058524
16,0.6763558387756348,0.583657443523407,0.6496412754058838,0.660527229309082,0.6511700394437397,0.560261146226218,0.6249578787547335,0.6356378836138803,0.7015416381075298,0.6070537408205959,0.6743246720570341,0.6854165750042838
32,0.6664118766784668,0.583657443523407,0.6138181686401367,0.6356436014175415,0.6414119070403904,0.560261146226218,0.5898249790026436,0.6112275766489838,0.6914118463165432,0.6070537408205959,0.6378113582776298,0.6600596261860993
64,0.6430702209472656,0.583657443523407,0.56561279296875,0.6437705159187317,0.618511976580996,0.560261146226218,0.5425810010152847,0.6191989033891397,0.6676284653135353,0.6070537408205959,0.5886445849222153,0.6683421284483236
128,0.6167216300964355,0.583657443523407,0.5332633256912231,0.648676335811615,0.5926717615274546,0.560261146226218,0.5108998668014852,0.624011277617927,0.6407714986654165,0.6070537408205959,0.555626784580961,0.673341394005303
256,0.5828495025634766,0.583657443523407,0.5038365721702576,0.6466097235679626,0.5594694042999028,0.560261146226218,0.4820989036768063,0.6219839868139008,0.6062296008270504,0.6070537408205959,0.5255742406637088,0.6712354603220245
1000,0.5741074085235596,0.583657443523407,0.5573020577430725,0.6517117619514465,0.5509033104352801,0.560261146226218,0.5344400988072373,0.6269890620828323,0.5973115066118391,0.6070537408205959,0.5801640166789077,0.6764344618200607
2000,0.5940382480621338,0.583657443523407,0.5588363409042358,0.6409086585044861,0.5704348070275342,0.560261146226218,0.5359429334843321,0.6163917228944459,0.6176416890967333,0.6070537408205959,0.5817297483241396,0.6654255941145263
4000,0.6099052429199219,0.583657443523407,0.5690397024154663,0.6378429532051086,0.5859886506145668,0.560261146226218,0.5459382438313607,0.6133847247100791,0.6338218352252769,0.6070537408205959,0.5921411609995719,0.6623011817001382
8000,0.616222620010376,0.583657443523407,0.5725894570350647,0.6094645857810974,0.5921824831866505,0.560261146226218,0.5494160553007404,0.5855566349176373,0.6402627568341015,0.6070537408205959,0.595762858769389,0.6333725366445575
16000,0.6206333637237549,0.583657443523407,0.5684025883674622,0.6129636764526367,0.5965073441255342,0.560261146226218,0.5453140659508963,0.5889871930111223,0.6447593833219756,0.6070537408205959,0.591491110784028,0.6369401598941511
33000,0.6225545406341553,0.583657443523407,0.5706456899642944,0.6259394884109497,0.5983912087188626,0.560261146226218,0.5475116549936172,0.6017105552242918,0.6467178725494479,0.6070537408205959,0.5937797249349717,0.6501684215976076
66000,0.6252005100250244,0.583657443523407,0.5670851469039917,0.5891609191894531,0.6009858832896376,0.560261146226218,0.5440233972567567,0.5656545754550709,0.6494151367604112,0.6070537408205959,0.5901468965512267,0.6126672629238353
131000,0.634514331817627,0.583657443523407,0.5799236297607422,0.6048319935798645,0.6101200051605703,0.560261146226218,0.5566022887403256,0.5810150792253771,0.6589086584746836,0.6070537408205959,0.6032449707811588,0.6286489079343519
143000,0.6344237327575684,0.583657443523407,0.5789174437522888,0.6014740467071533,0.6100311477333268,0.560261146226218,0.5556163431506638,0.5777233385446962,0.6588163177818099,0.6070537408205959,0.6022185443539139,0.6252247548696105
