step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.052154541015625,11.255775082108944,10.848533999922306
2,11.051300048828125,11.254912718355584,10.847687379300666
4,11.034942626953125,11.238404553506472,10.831480700399778
8,10.389862060546875,10.587287450079014,10.192436671014736
16,9.50146484375,9.690261107568888,9.312668579931112
256,6.4121246337890625,6.567220095615511,6.257029171962614
1000,6.053741455078125,6.204440342916471,5.903042567239779
8000,5.76031494140625,5.907316258901545,5.613313623910955
33000,5.6429290771484375,5.788424861015225,5.49743329328165
66000,5.6293792724609375,5.774700269058058,5.484058275863817
131000,5.6034088134765625,5.748394212163825,5.4584234147893
143000,5.59954833984375,5.744483786014232,5.454612893673268
