step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.009124755859375,11.212348528482794,10.805900983235956
2,11.003387451171875,11.206558262789054,10.800216639554696
4,10.72918701171875,10.929810381272688,10.528563642164812
8,9.919342041015625,10.112245291485738,9.726438790545512
16,9.327545166015625,9.514605537739165,9.140484794292085
256,6.517822265625,6.674190801393924,6.361453729856076
1000,6.060546875,6.211330444448478,5.909763305551522
8000,5.714691162109375,5.861109170482675,5.568273153736075
33000,5.5601959228515625,5.70462118355861,5.415770662144515
66000,5.5334014892578125,5.677478339001896,5.389324639513729
131000,5.5267791748046875,5.670769783938182,5.382788565671193
143000,5.537567138671875,5.681698210103365,5.393436067240385
