step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2879574298858643,3.067189931869507,3.176896525497786,2.959922360562855,3.3990183342739426,3.174457503176159
1,3.2879574298858643,3.067189931869507,3.176896525497786,2.959922360562855,3.3990183342739426,3.174457503176159
2,3.2879459857940674,3.0654923915863037,3.1768852746859078,2.9582545080767924,3.399006696902227,3.172730275095815
4,3.28733491897583,2.992919683456421,3.176284528698543,2.88695878210651,3.398385309253117,3.0988805848063317
8,3.284665584564209,2.6986379623413086,3.1736602902135274,2.5980211798532076,3.3956708789148906,2.7992547448294096
16,3.308335542678833,2.1247377395629883,3.196931003104658,2.035458439119921,3.419740082253008,2.2140170400060555
32,3.3324379920959473,1.7964532375335693,3.2206283773031643,1.7143602480571254,3.44424760688873,1.8785462270100133
64,3.336430549621582,1.6484125852584839,3.224553975939925,1.5697748362313462,3.448307123303239,1.7270503342856216
128,3.6587283611297607,0.8403326869010925,3.541572722396919,0.7841860508604057,3.7758839998626024,0.8964793229417793
256,3.859295606613159,1.5282800197601318,3.738971641454533,1.4525619419515303,3.9796195717717855,1.6039980975687333
1000,5.378905773162842,4.5004472732543945,5.236854516224879,4.370512332822534,5.520957030100805,4.630382213686255
2000,6.73377799987793,5.887112617492676,6.5748400854619735,5.738502189627074,6.892715914293886,6.035723045358278
4000,7.5490546226501465,6.611883640289307,7.380770014199208,6.454390836846973,7.717339231101085,6.76937644373164
8000,7.8900909423828125,6.94603967666626,7.71804710642548,6.784616182957586,8.062134778340145,7.107463170374934
16000,8.09786605834961,7.2295942306518555,7.923571668943737,7.0649088401074405,8.272160447755482,7.3942796211962705
33000,8.41154670715332,7.541629314422607,8.233908638344543,7.3734274893513,8.589184775962098,7.7098311394939145
66000,8.769220352172852,7.881662368774414,8.587844859860931,7.7097104501102525,8.950595844484772,8.053614287438576
131000,8.555124282836914,7.961069107055664,8.375976567406916,7.788253162403471,8.734271998266912,8.133885051707857
143000,8.826773643493652,8.490392684936523,8.644803931601905,8.31192400916088,9.0087433553854,8.668861360712167
