step,mean_logit_token_js_div,mean_bigram_token_js_div,mean_bigram_logit_js_div,mean_unigram_logit_js_div,bottom_conf_logit_token_js_div,bottom_conf_bigram_token_js_div,bottom_conf_bigram_logit_js_div,bottom_conf_unigram_logit_js_div,top_conf_logit_token_js_div,top_conf_bigram_token_js_div,top_conf_bigram_logit_js_div,top_conf_unigram_logit_js_div
0,0.68798828125,0.583657443523407,0.6928548812866211,0.6929044127464294,0.6625868236975953,0.560261146226218,0.6673637413239487,0.6674123616327761,0.7133897388024047,0.6070537408205959,0.7183460212492935,0.7183964638600828
1,0.68798828125,0.583657443523407,0.6928550601005554,0.6929041147232056,0.6625868236975953,0.560261146226218,0.6673639168484707,0.667412069091711,0.7133897388024047,0.6070537408205959,0.7183462033526401,0.7183961603547001
2,0.68798828125,0.583657443523407,0.6928543448448181,0.6929035186767578,0.6625868236975953,0.560261146226218,0.6673632147503852,0.6674114840095844,0.7133897388024047,0.6070537408205959,0.718345474939251,0.7183955533439312
4,0.68798828125,0.583657443523407,0.6928374767303467,0.6928790211677551,0.6625868236975953,0.560261146226218,0.6673466569391693,0.667387437138262,0.7133897388024047,0.6070537408205959,0.7183282965215241,0.7183706051972483
8,0.6879916191101074,0.583657443523407,0.6927524209022522,0.6925962567329407,0.6625900999386233,0.560261146226218,0.6672631658426358,0.667109874801281,0.7133931382815916,0.6070537408205959,0.7182416759618686,0.7180826386646003
16,0.6840462684631348,0.583657443523407,0.6799345016479492,0.6658976078033447,0.6587176876734039,0.560261146226218,0.6546821599942227,0.6409072862433157,0.7093748492528656,0.6070537408205959,0.7051868433016757,0.6908879293633737
32,0.6772842407226562,0.583657443523407,0.6496176719665527,0.6593902111053467,0.6520811616355876,0.560261146226218,0.6249347237308354,0.6345222966449056,0.7024873198097249,0.6070537408205959,0.6743006202022701,0.6842581255657878
64,0.6623167991638184,0.583657443523407,0.6084170937538147,0.6509523987770081,0.6373937598579349,0.560261146226218,0.5845296971262621,0.6262441063357095,0.6872398384697018,0.6070537408205959,0.6323044903813673,0.6756606912183066
128,0.631476879119873,0.583657443523407,0.5553452372550964,0.6420919299125671,0.6071410109550469,0.560261146226218,0.5325234505099652,0.6175523726614104,0.6558127472846992,0.6070537408205959,0.5781670240002277,0.6666314871637239
256,0.5955297946929932,0.583657443523407,0.525927722454071,0.6523628830909729,0.5718967397726995,0.560261146226218,0.5037186127724828,0.6276278361582603,0.6191628496132868,0.6070537408205959,0.5481368321356593,0.6770979300236855
1000,0.582139253616333,0.583657443523407,0.5434589385986328,0.6415510773658752,0.5587734049592437,0.560261146226218,0.5208827052578685,0.6170218574803664,0.6055051022734224,0.6070537408205959,0.5660351719393971,0.6660802972513841
2000,0.603308916091919,0.583657443523407,0.5558618903160095,0.6420515179634094,0.5795220083111937,0.560261146226218,0.5330294901685291,0.6175127329591056,0.6270958238726442,0.6070537408205959,0.57869429046349,0.6665903029677133
4000,0.6214864253997803,0.583657443523407,0.5844874978065491,0.6374006867408752,0.5973438308664822,0.560261146226218,0.5610745697808008,0.6129509391186935,0.6456290199330783,0.6070537408205959,0.6079004258322973,0.661850434363057
8000,0.6280601024627686,0.583657443523407,0.5924403667449951,0.6076316237449646,0.6037901615005518,0.560261146226218,0.5688686920942251,0.5837596514812877,0.6523300434249854,0.6070537408205959,0.6160120413957652,0.6315035960086415
16000,0.6374685764312744,0.583657443523407,0.5994080305099487,0.5685727596282959,0.6130175267697047,0.560261146226218,0.5756981483464629,0.5454807812906772,0.6619196260928442,0.6070537408205959,0.6231179126734345,0.5916647379659146
33000,0.6397097110748291,0.583657443523407,0.5965319275856018,0.5539326071739197,0.6152157181076225,0.560261146226218,0.5728789966600383,0.5311398647671689,0.6642037040420357,0.6070537408205959,0.6201848585111653,0.5767253495806705
66000,0.641491174697876,0.583657443523407,0.5955130457878113,0.522425651550293,0.6169631000056868,0.560261146226218,0.5718803232023417,0.500290608878365,0.6660192493900652,0.6070537408205959,0.6191457683732808,0.544560694222221
131000,0.6502134799957275,0.583657443523407,0.6159647703170776,0.5824589729309082,0.6255192151588086,0.560261146226218,0.5919296636482713,0.5590867087232235,0.6749077448326465,0.6070537408205959,0.639999876985884,0.6058312371385929
143000,0.6502895355224609,0.583657443523407,0.6163289546966553,0.5832991003990173,0.625593826482631,0.560261146226218,0.5922867437928362,0.5599099864159529,0.6749852445622909,0.6070537408205959,0.6403711656004744,0.6066882143820818
