step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss
0,11.025390625,11.01171875,10.999968894033472,11.050812355966528,10.98631278584638,11.03712471415362
1,11.025390625,11.013671875,10.999968894033472,11.050812355966528,10.988263657845518,11.039080092154482
2,11.025390625,11.001953125,10.999968894033472,11.050812355966528,10.976558428848953,11.027347821151047
4,11.025390625,10.7265625,10.999968894033472,11.050812355966528,10.701487646201425,10.751637353798575
8,11.05859375,9.916015625,11.0331337688524,11.0840537311476,9.891906762118866,9.940124487881134
16,11.126953125,9.294921875,11.101414573869725,11.152491676130275,9.271580254832122,9.318263495167878
32,11.044921875,8.90625,11.019477636963135,11.070366113036865,8.88340161192528,8.92909838807472
64,10.9453125,8.1953125,10.919983257114122,10.970641742885878,8.173395006573074,8.217229993426926
128,10.9375,7.2275390625,10.912179798429023,10.962820201570977,7.206956314850898,7.248121810149102
256,11.712890625,6.6552734375,11.686688279454273,11.739092970545727,6.635522347067265,6.675024527932735
512,12.232421875,6.9375,12.205644725021736,12.259199024978264,6.917334470791821,6.957665529208179
1000,12.52734375,7.142578125,12.500245726004058,12.554441773995942,7.122116711812287,7.163039538187713
2000,12.28125,7.1337890625,12.254419460109537,12.308080539890463,7.113340242243947,7.154237882756053
3000,12.142578125,6.96484375,12.115899491623745,12.169256758376255,6.944638519247422,6.985048980752578
4000,12.107421875,6.859375,12.080781890770862,12.134061859229138,6.839323336914924,6.879426663085076
5000,11.849609375,6.8037109375,11.823254549641204,11.875964200358796,6.783740800113334,6.823681074886666
6000,11.740234375,6.7841796875,11.714001462587982,11.766467287412018,6.764238234611603,6.804121140388397
7000,11.59765625,6.7158203125,11.57158311568824,11.62372938431176,6.695979581931225,6.735661043068775
8000,11.576171875,6.7041015625,11.550122901805214,11.602220848194786,6.684278150000194,6.723924974999806
9000,11.529296875,6.671875,11.503300694914426,11.555293055085574,6.652099290388638,6.691650709611362
10000,11.498046875,6.6396484375,11.47208594996382,11.52400780003618,6.619920546124376,6.659376328875624
11000,11.46875,6.630859375,11.442822170109688,11.494677829890312,6.611144545090654,6.650574204909346
12000,11.47265625,6.65625,11.446724004983237,11.498588495016763,6.636497460530879,6.676002539469121
13000,11.556640625,6.6962890625,11.53061363592019,11.58266761407981,6.676477203789607,6.716100921210393
14000,11.423828125,6.6318359375,11.39795112320779,11.44970512679221,6.612119655889322,6.651552219110678
15000,11.4765625,6.6298828125,11.450625840608362,11.502499159391638,6.61016943439889,6.64959619060111
16000,11.431640625,6.6171875,11.405754776369312,11.457526473630688,6.597493005144966,6.636881994855034
17000,11.4296875,6.65234375,11.403803862795451,11.455571137204549,6.632597007314413,6.672090492685587
18000,11.48828125,6.6416015625,11.46233135198935,11.51423114801065,6.621870769750529,6.661332355249471
19000,11.478515625,6.615234375,11.452576758702644,11.504454491297356,6.595542786866974,6.634925963133026
20000,11.484375,6.619140625,11.458429514111803,11.510320485888197,6.5994432238519005,6.6388380261480995
21000,11.591796875,6.6025390625,11.56573032786279,11.61786342213721,6.582866378528606,6.622211746471394
22000,11.447265625,6.6328125,11.421362091756741,11.473169158243259,6.613094766794871,6.652530233205129
23000,11.380859375,6.603515625,11.35503108498534,11.40668766501466,6.583841486217439,6.623189763782561
24000,11.451171875,6.626953125,11.425263922489757,11.477079827510243,6.607244102965256,6.646662147034744
25000,11.37109375,6.62109375,11.345276543661779,11.396910956338221,6.601393442987586,6.640794057012414
26000,11.478515625,6.6650390625,11.452576758702644,11.504454491297356,6.6452734864837755,6.6848046385162245
27000,11.388671875,6.607421875,11.362834721467573,11.414509028532427,6.587741918048221,6.627101831951779
28000,11.447265625,6.6015625,11.421362091756741,11.473169158243259,6.581891270947365,6.621233729052635
29000,11.44140625,6.6318359375,11.415509347071232,11.467303152928768,6.612119655889322,6.651552219110678
30000,11.48828125,6.6328125,11.46233135198935,11.51423114801065,6.613094766794871,6.652530233205129
31000,11.408203125,6.6181640625,11.382343825964636,11.434062424035364,6.598468114444827,6.637860010555173
32000,11.439453125,6.6103515625,11.413558432553327,11.465347817446673,6.590667243049859,6.630035881950141
33000,11.400390625,6.572265625,11.374540181889223,11.426241068110777,6.552638093659354,6.591893156340646
34000,11.37109375,6.615234375,11.345276543661779,11.396910956338221,6.595542786866974,6.634925963133026
35000,11.341796875,6.6240234375,11.316012948278162,11.367580801721838,6.604318772494609,6.643728102505391
36000,11.375,6.6298828125,11.349178359620296,11.400821640379704,6.61016943439889,6.64959619060111
37000,11.34765625,6.64453125,11.321865663919422,11.373446836080578,6.624796105989532,6.664266394010468
38000,11.33984375,6.587890625,11.314062043446652,11.365625456553348,6.568239776120581,6.607541473879419
39000,11.369140625,6.6220703125,11.34332563596812,11.39495561403188,6.602368552716151,6.641772072283849
