step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.0823974609375,11.28629640352868,10.87849851834632
2,11.081878662109375,11.285772832097386,10.877984492121364
4,11.071746826171875,11.275547767622646,10.867945884721104
8,10.934417724609375,11.136950793421015,10.731884655797735
16,10.5081787109375,10.706725029030489,10.309632392844511
256,6.4604034423828125,6.616081689388632,6.304725195376993
1000,6.049346923828125,6.199991104077306,5.898702743578944
8000,5.942169189453125,6.091472906253713,5.792865472652537
33000,5.9920501708984375,6.141979236101993,5.842121105694882
66000,5.973968505859375,6.12367118649416,5.82426582522459
131000,5.9913482666015625,6.1412685502583955,5.8414279829447295
143000,6.017303466796875,6.167548135351282,5.867058798242468
