step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2851366996765137,3.078213691711426,3.1741234449421483,2.9707535285894147,3.396149954410879,3.185673854833437
1,3.2851366996765137,3.078213691711426,3.1741234449421483,2.9707535285894147,3.396149954410879,3.185673854833437
2,3.2851293087005615,3.076596260070801,3.1741161788463508,2.969164332854931,3.3961424385547723,3.1840281872866707
4,3.2846338748931885,3.0076630115509033,3.173629116358067,2.901441445477807,3.3956386334283097,3.113884577624
8,3.282165288925171,2.7280995845794678,3.171202251371038,2.6269350652382006,3.393128326479304,2.829264103920735
16,3.299222707748413,2.1538808345794678,3.1879717062952553,2.0639913379069945,3.410473709201571,2.243770331251941
32,3.328629970550537,1.830657720565796,3.216884257190717,1.7477868905876375,3.440375683910357,1.9135285505439543
64,3.3318560123443604,1.664617657661438,3.2200561612400924,1.5855943213626476,3.4436558634486283,1.7436409939602284
128,3.690659999847412,0.8005979061126709,3.572994232426091,0.7457947793461758,3.8083257672687334,0.855401032879166
256,3.8189287185668945,1.5726641416549683,3.6992356809520945,1.4958544352691983,3.9386217561816945,1.6494738480407383
1000,5.385855197906494,4.630356788635254,5.2437122070810585,4.498559844434531,5.52799818873193,4.762153732835976
2000,6.704164981842041,5.876718044281006,6.545576931744698,5.728238871288841,6.862753031939384,6.0251972172731705
4000,7.415213584899902,6.496766090393066,7.248427449756659,6.340650337427046,7.581999720043146,6.652881843359086
8000,7.894631385803223,6.9629292488098145,7.722538054665175,6.801309620428739,8.066724716941271,7.12454887719089
16000,8.195820808410645,7.258255958557129,8.02047542341198,7.093244443289991,8.371166193409309,7.423267473824267
33000,8.383291244506836,7.437121391296387,8.205951781184034,7.270089058017718,8.560630707829638,7.604153724575055
66000,8.709501266479492,7.92240047454834,8.528744419963337,7.7500047429722665,8.890258112995648,8.094796206124412
131000,9.086297035217285,8.207165718078613,8.901671580608147,8.031699015784763,9.270922489826424,8.382632420372463
143000,9.206009864807129,8.298391342163086,9.020172161024954,8.121952146781453,9.391847568589304,8.474830537544719
