step,mean_logit_token_js_div,mean_bigram_token_js_div,mean_bigram_logit_js_div,mean_unigram_logit_js_div,bottom_conf_logit_token_js_div,bottom_conf_bigram_token_js_div,bottom_conf_bigram_logit_js_div,bottom_conf_unigram_logit_js_div,top_conf_logit_token_js_div,top_conf_bigram_token_js_div,top_conf_bigram_logit_js_div,top_conf_unigram_logit_js_div
0,0.68798828125,0.583657443523407,0.6928204298019409,0.6928461790084839,0.6625868236975953,0.560261146226218,0.6673299236072905,0.6673551991310563,0.7133897388024047,0.6070537408205959,0.7183109359965913,0.7183371588859114
1,0.68798828125,0.583657443523407,0.6928204298019409,0.6928461790084839,0.6625868236975953,0.560261146226218,0.6673299236072905,0.6673551991310563,0.7133897388024047,0.6070537408205959,0.7183109359965913,0.7183371588859114
2,0.68798828125,0.583657443523407,0.6928213834762573,0.6928451657295227,0.6625868236975953,0.560261146226218,0.6673308597376434,0.6673542044922233,0.7133897388024047,0.6070537408205959,0.7183119072148713,0.7183361269668221
4,0.6879978179931641,0.583657443523407,0.6927542090415955,0.6925268769264221,0.6625961843866434,0.560261146226218,0.6672649210854427,0.6670417715570561,0.7133994515996848,0.6070537408205959,0.7182434969977483,0.7180119822957881
8,0.6810173988342285,0.583657443523407,0.6677074432373047,0.6359872221946716,0.6557449561190791,0.560261146226218,0.6426831842676716,0.6115645988228783,0.7062898415493779,0.6070537408205959,0.6927317022069378,0.660409845566465
16,0.6735076904296875,0.583657443523407,0.6398476362228394,0.6400110125541687,0.6483749760016146,0.560261146226218,0.6153510028740119,0.6155112519650284,0.6986404048577604,0.6070537408205959,0.6643442695716668,0.664510773143309
32,0.6622476577758789,0.583657443523407,0.6077289581298828,0.6464936137199402,0.6373259194021978,0.560261146226218,0.5838550739588899,0.6218700880514976,0.68716939614956,0.6070537408205959,0.6316028423008757,0.6711171393883828
64,0.6416225433349609,0.583657443523407,0.5623940825462341,0.6472253203392029,0.6170919572638783,0.560261146226218,0.5394279171458223,0.62258786406014,0.6661531294060435,0.6070537408205959,0.585360247946646,0.6718627766182658
128,0.6212964057922363,0.583657443523407,0.5380476713180542,0.6559334397315979,0.5971575023428195,0.560261146226218,0.5155841159111684,0.63113079440304,0.6454353092416532,0.6070537408205959,0.56051122672494,0.6807360850601558
256,0.5969109535217285,0.583657443523407,0.513451874256134,0.6443004608154297,0.5732505094604374,0.560261146226218,0.4915077633878932,0.6197187368240403,0.6205713975830196,0.6070537408205959,0.5353959851243749,0.668882184806819
1000,0.4521477222442627,0.583657443523407,0.5374339818954468,0.6575016379356384,0.431555259415369,0.560261146226218,0.51498324094744,0.6326693613659014,0.4727401850731564,0.6070537408205959,0.5598847228434536,0.6823339145053755
2000,0.5409629344940186,0.583657443523407,0.5559200048446655,0.649061381816864,0.5184386050025944,0.560261146226218,0.5330864111817486,0.6243890042770945,0.5634872639854427,0.6070537408205959,0.5787535985075825,0.6737337593566335
4000,0.5883693695068359,0.583657443523407,0.5674274563789368,0.6359599232673645,0.5648788217053221,0.560261146226218,0.5443587474024779,0.6115378240559248,0.6118599173083498,0.6070537408205959,0.5904961653553956,0.6603820224788042
8000,0.6020331382751465,0.583657443523407,0.5763183832168579,0.6436863541603088,0.578271394111727,0.560261146226218,0.5530696468141961,0.619116347837944,0.625794882438566,0.6070537408205959,0.5995671196195197,0.6682563604826737
16000,0.6061863899230957,0.583657443523407,0.5777008533477783,0.6340640187263489,0.5823428239498809,0.560261146226218,0.5544242491614896,0.6096783498992329,0.6300299558963105,0.6070537408205959,0.6009774575340671,0.6584496875534649
33000,0.6105241775512695,0.583657443523407,0.5728947520256042,0.6086810231208801,0.5865954529894463,0.560261146226218,0.5497151732820834,0.5847884459174048,0.6344529021130928,0.6070537408205959,0.5960743307691251,0.6325736003243555
66000,0.6170949935913086,0.583657443523407,0.5652033090591431,0.586359441280365,0.593037846224302,0.560261146226218,0.5421798557216932,0.5629090508262151,0.6411521409583152,0.6070537408205959,0.5882267623965929,0.6098098317345149
131000,0.6302285194396973,0.583657443523407,0.5779280662536621,0.5948094725608826,0.6059167178297157,0.560261146226218,0.5546468851094852,0.5711907146274369,0.6545403210496789,0.6070537408205959,0.601209247397839,0.6184282304943283
143000,0.6285204887390137,0.583657443523407,0.5733206272125244,0.5957270860671997,0.6042416541209056,0.560261146226218,0.5501324345189699,0.572090116807252,0.6527993233571218,0.6070537408205959,0.596508819906079,0.6193640553271474
