step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2859911918640137,3.086808204650879,3.1749635003192687,2.97919812925954,3.3970188834087587,3.1944182800422176
1,3.2859911918640137,3.086808204650879,3.1749635003192687,2.97919812925954,3.3970188834087587,3.1944182800422176
2,3.2859790325164795,3.0851213932037354,3.174951546393091,2.977540724030685,3.397006518639868,3.1927020623767857
4,3.2852957248687744,3.0131020545959473,3.1742797832309173,2.9067844866259183,3.3963116665066315,3.1194196225659763
8,3.2825205326080322,2.7205898761749268,3.1715514901991635,2.6195646918470583,3.393489575016901,2.821615060502795
16,3.2960071563720703,2.14643931388855,3.18481038292203,2.0567052328043314,3.407203929822111,2.2361733949727682
32,3.3317081928253174,1.825163722038269,3.2199108217777295,1.7424173375862717,3.4435055638729053,1.9079101064902664
64,3.3364152908325195,1.6689751148223877,3.2245389729786047,1.589848416724289,3.4482916086864344,1.7481018129204864
128,3.6318156719207764,0.8947690725326538,3.5150917122477376,0.836832393852485,3.748539631593815,0.9527057512128226
256,3.727384567260742,1.6041227579116821,3.6091348219352084,1.5265486280557419,3.845634312586276,1.6816968877676224
1000,5.273292064666748,4.384552478790283,5.13264229491798,4.256301482074321,5.413941834415516,4.512803475506246
2000,6.740814685821533,5.819812774658203,6.581793749351353,5.672054225049657,6.899835622291714,5.967571324266749
4000,7.484924793243408,6.529641151428223,7.3173565050145255,6.373130906914281,7.652493081472291,6.686151395942164
8000,8.05964469909668,7.082320213317871,7.885762124840694,6.919320856009807,8.233527273352665,7.245319570625935
16000,8.09361457824707,7.284917831420898,7.9193659482059795,7.119603524183779,8.267863208288162,7.450232138658018
33000,8.245922088623047,7.396406173706055,8.070041574588966,7.2298316849917,8.421802602657127,7.56298066242041
66000,8.61266803741455,7.732608795166016,8.432918837132634,7.5622905662968645,8.792417237696467,7.902927024035167
131000,9.209945678710938,8.356548309326172,9.024068253894884,8.179491930887226,9.395823103526991,8.533604687765118
143000,9.015679359436035,8.296577453613281,8.831772748349263,8.120157542603392,9.199585970522808,8.47299736462317
