step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2857091426849365,3.1357150077819824,3.1746862162079337,3.0272558057217154,3.3967320691619394,3.2441742098422495
1,3.2857091426849365,3.1357150077819824,3.1746862162079337,3.0272558057217154,3.3967320691619394,3.2441742098422495
2,3.2857043743133545,3.134913682937622,3.1746815283971586,3.0264683400141363,3.3967272202295504,3.243359025861108
4,3.285628318786621,3.1195030212402344,3.174606757823198,3.0113245554259023,3.3966498797500444,3.2276814870545665
8,3.2867448329925537,2.5110833644866943,3.1757044100932936,2.414025958893539,3.397785255891814,2.60814077007985
16,3.3935558795928955,1.6627390384674072,3.280725612782191,1.583760306004309,3.5063861464036,1.7417177709305054
32,3.422238826751709,1.4079421758651733,3.308932732374595,1.3352662585639734,3.535544921128823,1.4806180931663733
64,3.445448875427246,1.496402621269226,3.3317592023199203,1.4214783818723287,3.559138548534572,1.5713268606661235
128,3.721654176712036,1.1240366697311401,3.60349536349308,1.0591002481529141,3.839812989930992,1.1889730913093661
256,3.9467997550964355,1.8191450834274292,3.8251193466104954,1.7365352433915322,4.068480163582376,1.9017549234633262
1000,5.241110324859619,4.591843605041504,5.100890389190521,4.460595918604176,5.381330260528717,4.723091291478831
2000,6.892879962921143,6.012446880340576,6.7320753620489375,5.862262855521104,7.053684563793348,6.162630905160048
4000,7.6523919105529785,6.73484992980957,7.482959412228488,6.575899365471974,7.821824408877469,6.8938004941471664
8000,8.206853866577148,7.271907329559326,8.031390497960006,7.106740709868294,8.382317235194291,7.437073949250358
16000,8.556175231933594,7.585297107696533,8.377016513194837,7.416609021595215,8.73533395067235,7.753985193797852
33000,8.91987133026123,7.9804229736328125,8.736944500624178,7.8073970932051004,9.102798159898283,8.153448854060525
66000,9.252850532531738,8.377925872802734,9.066540652542512,8.200643167881859,9.439160412520964,8.55520857772361
131000,9.744871139526367,9.048637390136719,9.553671898929176,8.864394937999503,9.936070380123558,9.232879842273935
143000,9.691509246826172,8.981074333190918,9.500834218344764,8.797521007278098,9.88218427530758,9.164627659103738
