step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2866668701171875,3.106926202774048,3.1756277641869084,2.998966027341684,3.3977059760474666,3.214886378206412
1,3.2866668701171875,3.106926202774048,3.1756277641869084,2.998966027341684,3.3977059760474666,3.214886378206412
2,3.286656618118286,3.1051862239837646,3.1756176853685765,2.9972562833736727,3.397695550867996,3.2131161645938566
4,3.2861156463623047,3.030761480331421,3.17508585229141,2.924132810342013,3.3971454404331993,3.137390150320829
8,3.2837212085723877,2.7261850833892822,3.1727318729651945,2.625056067441181,3.394710544179581,2.8273140993373835
16,3.303006410598755,2.1302616596221924,3.1916916335006786,2.040866379783907,3.414321187696831,2.219656939460478
32,3.3324615955352783,1.780116081237793,3.220651584773119,1.6983972259431046,3.4442716062974377,1.8618349365324813
64,3.3365771770477295,1.6530722379684448,3.2246981450511796,1.5743234226884895,3.4484562090442794,1.7318210532484002
128,3.661407232284546,0.8219124674797058,3.544208711516877,0.7663846125430561,3.7786057530522146,0.8774403224163555
256,3.70986008644104,1.6878013610839844,3.5918886470983504,1.6082296349759249,3.8278315257837296,1.767373087192044
1000,5.301964282989502,4.466030597686768,5.160932657471031,4.336593442354003,5.442995908507973,4.595467753019532
2000,6.775485992431641,5.945095062255859,6.616056619261543,5.795754592048466,6.934915365601738,6.094435532463253
4000,7.473228931427002,6.517669677734375,7.305791614571183,6.3613029723379055,7.6406662482828205,6.6740363831308445
8000,7.825721263885498,6.831298351287842,7.654380657216793,6.671213683417809,7.997061870554203,6.991383019157874
16000,8.160908699035645,7.271351337432861,7.98593717594303,7.106191031979024,8.33588022212826,7.436511642886699
33000,8.240619659423828,7.384512901306152,8.064795703281904,7.218072390686167,8.416443615565752,7.5509534119261374
66000,8.644033432006836,7.839268684387207,8.463957226150042,7.6677798345440245,8.82410963786363,8.01075753423039
131000,8.687982559204102,7.987642765045166,8.507449150235026,7.814538635108559,8.868515968173178,8.160746894981774
143000,8.746769905090332,8.322985649108887,8.56562673505276,8.146285186869134,8.927913075127904,8.49968611134864
