step,index,mean_losses,bottom_conf_intervals,top_conf_intervals,token_bow_mean_losses,token_bottom_conf_intervals,token_top_conf_intervals
0,1023.5,11.015335362433332,10.855033619141896,11.175637105724768,11.017589008196412,10.8575274947231,11.177650521669722
1,1023.5,11.015335362433332,10.855033619141896,11.175637105724768,11.017287186513462,10.857088015492764,11.17748635753416
2,1023.5,11.010351330741834,10.849925680058153,11.170776981425515,11.012843583775608,10.853500392673604,11.172186774877613
4,1023.5,10.821436410057744,10.633035698197174,11.009837121918316,10.834334251233809,10.648116444231746,11.020552058235872
8,1023.5,10.303678599347075,9.924211698082367,10.683145500611783,10.338548283932742,9.979143529960703,10.69795303790478
16,1023.5,9.669578656026395,9.03144674903915,10.30771056301364,9.763631511598016,9.169397973802674,10.357865049393357
32,1023.5,9.27258245147732,8.572713181505751,9.97245172144889,9.67713735735812,9.101788702339842,10.2524860123764
64,1023.5,8.491823976237608,7.687100288747552,9.296547663727663,9.570773412602337,8.992367282440025,10.14917954276465
128,1023.5,7.294332572242896,6.429764775817131,8.158900368668661,8.87383982364009,8.260840263401347,9.486839383878833
256,1023.5,6.005792184158467,5.138928700314356,6.8726556680025785,8.609930918139629,7.892023680697635,9.327838155581622
512,1023.5,4.975743400731398,4.149431778338356,5.802055023124439,8.923897874303345,8.087991792102004,9.759803956504685
1000,1023.5,3.606035818384868,2.7892093960681006,4.422862240701636,8.836200401026053,7.958600751921812,9.713800050130295
2000,1023.5,2.934541957674031,2.1864251481364425,3.682658767211619,8.244219987609215,7.381871309099769,9.10656866611866
3000,1023.5,2.734239670237398,2.0096349720340316,3.4588443684407646,7.948273337488168,7.123137093387751,8.773409581588586
4000,1023.5,2.6290859559863407,1.917967758007652,3.340204153965029,7.7854370325691145,6.978006082103135,8.592867983035095
5000,1023.5,2.5649361039468515,1.8647009377865689,3.265171270107134,7.710094927800418,6.926805971701405,8.49338388389943
6000,1023.5,2.523530711473431,1.825399972918143,3.221661450028719,7.669271715604432,6.882383691494731,8.456159739714133
7000,1023.5,2.488626499364436,1.7962205563177238,3.181032442411148,7.640030474168113,6.866403997178327,8.4136569511579
8000,1023.5,2.4614286064735067,1.7715405382443854,3.1513166747026284,7.675975656705779,6.878277461057591,8.473673852353967
9000,1023.5,2.4423637107589964,1.7549307056293368,3.129796715888656,7.621439478432202,6.839114604986686,8.403764351877717
10000,1023.5,2.4235758578788986,1.738877770550071,3.1082739452077264,7.609066904296329,6.815003257499737,8.403130551092922
11000,1023.5,2.4072163739265515,1.7241157135822238,3.0903170342708792,7.564791880086413,6.776186347079253,8.353397413093573
12000,1023.5,2.3925466405672755,1.7129788769077043,3.0721144042268467,7.5636005078519615,6.777835448063252,8.34936556764067
13000,1023.5,2.3803503466486773,1.7053890686294615,3.0553116246678935,7.573880786122547,6.785923487139959,8.361838085105134
14000,1023.5,2.3721529841731392,1.700573957391781,3.0437320109544976,7.532262324140483,6.737996472252992,8.326528176027972
15000,1023.5,2.363703037107225,1.6888298431371085,3.038576231077341,7.513771643794618,6.725601802259981,8.301941485329253
