step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,10.96966552734375,11.172524772727284,10.766806281960216
2,10.950592041015625,11.153274849095624,10.747909232935626
4,10.387969970703125,10.585377382923324,10.190562558482926
8,9.633941650390625,9.824049530256904,9.443833770524346
16,9.133819580078125,9.318927212916112,8.948711947240138
256,6.5761260986328125,6.733192458537351,6.419059738728274
1000,6.09765625,6.248900746888275,5.946411753111725
8000,5.6491546630859375,5.794730684255052,5.503578641916823
33000,5.54058837890625,5.684758763198643,5.396417994613857
66000,5.486175537109375,5.629636242642751,5.342714831575999
131000,5.48089599609375,5.624287656353108,5.337504335834392
143000,5.468902587890625,5.612137275955385,5.325667899825865
