step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.284038782119751,3.157189130783081,3.1730440796707,3.0483591851547067,3.395033484568802,3.2660190764114554
1,3.284038782119751,3.157189130783081,3.1730440796707,3.0483591851547067,3.395033484568802,3.2660190764114554
2,3.284034490585327,3.1566922664642334,3.1730398606594363,3.047870884758102,3.395029120511218,3.265513648170365
4,3.2839176654815674,3.147538185119629,3.1729250098154655,3.0388747033503876,3.394910321147669,3.2562016668888702
8,3.2822751998901367,3.0298855304718018,3.1713103044234128,2.9232722704905387,3.3932400953568607,3.136498790453065
16,3.280332565307617,2.6585323810577393,3.1694005123259754,2.5586660511319486,3.391264618289259,2.75839871098353
32,3.2869808673858643,2.064807176589966,3.1759364574280324,1.9767959926551861,3.398025277343696,2.1528183605247455
64,3.3102846145629883,1.5719648599624634,3.198847263400979,1.4951722321098895,3.4217219657249975,1.6487574878150373
128,3.7207155227661133,0.6342331767082214,3.6025716111507418,0.5854553337874588,3.838859434381485,0.683011019628984
256,3.8716318607330322,1.5584365129470825,3.7511157409853553,1.481975038214294,3.992147980480709,1.634897987679871
1000,5.387182235717773,4.522711753845215,5.245021734441471,4.392455804783821,5.529342736994076,4.652967702906609
2000,6.355013847351074,5.569728851318359,6.2006106237179495,5.425179835434678,6.509417070984199,5.714277867202041
4000,7.031262397766113,6.148476600646973,6.8688516501659365,5.996603144921199,7.19367314536629,6.300350056372746
8000,7.384213924407959,6.527045726776123,7.217776783161956,6.370566590474028,7.550651065653962,6.683524863078218
16000,7.698891639709473,6.880845546722412,7.52894514307684,6.720181383150262,7.868838136342105,7.041509710294562
33000,7.691325664520264,6.959636688232422,7.521462694653274,6.798055276909237,7.861188634387253,7.121218099555607
66000,7.905172824859619,7.139631748199463,7.732964636795586,6.975974208237639,8.077381012923652,7.303289288161287
131000,8.462580680847168,7.792320251464844,8.284404550021593,7.621345685774645,8.640756811672743,7.963294817155043
143000,8.420334815979004,7.747364044189453,8.242603976173392,7.576883393411347,8.598065655784616,7.91784469496756
