step,index,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_unigram_loss,top_conf_bigram_loss
0,1023.5,11.025337100028992,11.01144540309906,10.807630761233762,10.794312310984967,11.243043438824222,11.228578495213153
1,1023.5,11.024275422096252,11.01305639743805,10.806487639207166,10.79609565211428,11.242063204985339,11.230017142761819
2,1023.5,11.026087045669556,11.010611891746521,10.808669943703784,10.793552723787467,11.243504147635328,11.227671059705575
4,1023.5,11.02398943901062,10.815925598144531,10.80648753567033,10.560301956291754,11.24149134235091,11.071549239997308
8,1023.5,11.020085096359253,10.31086140871048,10.801585387281596,9.79741339016644,11.23858480543691,10.82430942725452
16,1023.5,11.049584329128265,9.695176094770432,10.826663201040429,8.83412441279609,11.272505457216102,10.556227776744773
32,1023.5,11.004603177309036,9.344101537019014,10.78372479940261,8.404752313461954,11.225481555215463,10.283450760576075
64,1023.5,10.874343807809055,8.751173882279545,10.650019662621942,7.691567258625169,11.098667952996168,9.810780505933922
128,1023.5,10.653361402451992,7.726692781434394,10.328419996356715,6.607726293965,10.97830280854727,8.84565926890379
256,1023.5,11.08254817686975,6.742696522385813,10.584705302801067,5.5821600855595035,11.580391050938433,7.903232959212123
512,1023.5,11.883903905749321,6.8398967050598,11.250305138375447,5.660678864971853,12.517502673123195,8.019114545147747
1000,1023.5,12.179085239768028,7.125794992851297,11.494513311614888,5.864714176701317,12.863657167921168,8.386875809001276
2000,1023.5,11.96846331981942,7.107035809258377,11.244417195473858,5.845898964992147,12.692509444164983,8.368172653524608
3000,1023.5,11.816688641905785,6.9844445228045515,11.095787461607735,5.773995215933629,12.537589822203834,8.194893829675474
4000,1023.5,11.60131023824215,6.912668687527912,10.915150473821896,5.732852003669424,12.287470002662403,8.092485371386399
5000,1023.5,11.408380389213562,6.867269742549979,10.766072259203607,5.705177332628636,12.050688519223517,8.029362152471323
6000,1023.5,11.354705482721329,6.803659798039007,10.725682542867599,5.6464714494245705,11.983728422575059,7.9608481466534435
7000,1023.5,11.300233528017998,6.821472865798569,10.689140555984851,5.670200630186221,11.911326500051144,7.972745101410917
8000,1023.5,11.352621231228113,6.8144466589983494,10.726483901249479,5.648423284090163,11.978758561206748,7.980470033906536
9000,1023.5,11.25119911134243,6.783917598906555,10.645681598158546,5.627994997515907,11.856716624526314,7.939840200297203
10000,1023.5,11.238160878419876,6.7803203871662845,10.638023061800396,5.622431973456541,11.838298695039356,7.938208800876028
11000,1023.5,11.18712192773819,6.737798544174439,10.597359785035728,5.5819071424452416,11.776884070440651,7.893689945903636
12000,1023.5,11.21730887889862,6.775836602097115,10.62025509752824,5.6263411346251875,11.814362660269001,7.925332069569043
13000,1023.5,11.18302994966507,6.7774888180574635,10.594729944870037,5.632269388504007,11.771329954460102,7.92270824761092
14000,1023.5,11.16073203086853,6.721514061566268,10.568746681566063,5.57573420917176,11.752717380170997,7.867293913960776
15000,1023.5,11.189437836408615,6.719816561671905,10.584665876690588,5.574152511438812,11.794209796126642,7.8654806119049985
