step,mean_3_gram_loss,top_conf_3_gram_loss,bottom_conf_3_gram_loss
1,11.073150634765625,11.276964495968327,10.869336773562923
2,11.071441650390625,11.275239783091292,10.867643517689958
4,10.99505615234375,11.198150033230306,10.791962271457194
8,10.67864990234375,10.878800221490032,10.478499583197468
16,10.042327880859375,10.236423311384195,9.848232450334555
256,6.4844207763671875,6.640388131313826,6.328453421420549
1000,6.08905029296875,6.240188022341066,5.937912563596434
8000,5.9081878662109375,6.057064061344725,5.75931167107715
33000,5.8723297119140625,6.02075343749159,5.723905986336535
66000,5.8421478271484375,5.990189636271523,5.694106018025352
131000,5.9145355224609375,6.063491671147422,5.765579373774453
143000,5.9426116943359375,6.091920970250685,5.79330241842119
