step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss
0,11.0234375,11.056640625,10.998018020836565,11.048856979163435,11.031182892272163,11.082098357727837
1,11.025390625,11.048828125,10.999968894033472,11.050812355966528,11.02337938793772,11.07427686206228
2,11.0234375,11.05078125,10.998018020836565,11.048856979163435,11.02533026372325,11.07623223627675
4,11.03125,11.03125,11.005821514820635,11.056678485179365,11.005821514820635,11.056678485179365
8,11.025390625,10.365234375,10.999968894033472,11.050812355966528,10.34058546670591,10.38988328329409
16,11.1171875,9.484375,11.091660158347125,11.142714841652875,9.460796700266979,9.507953299733021
32,11.078125,8.966796875,11.052642545566052,11.103607454433948,8.943870953997047,8.989722796002953
64,10.9140625,8.107421875,10.888769441765291,10.939355558234709,8.085622225452823,8.129221524547177
128,10.939453125,7.1201171875,10.914130662797655,10.964775587202345,7.099687971677926,7.140546403322074
256,11.873046875,6.6962890625,11.846665998736631,11.899427751263369,6.676477203789607,6.716100921210393
512,12.267578125,6.9228515625,12.24076252356997,12.29439372643003,6.902707334163096,6.942995790836904
1000,12.55078125,7.177734375,12.523657888902688,12.577904611097312,7.1572226673983845,7.1982460826016155
2000,12.15625,7.1240234375,12.129556351512315,12.182943648487685,7.103588618491912,7.144458256508088
3000,12.01953125,6.9150390625,11.992988134847684,12.046074365152316,6.894906203842758,6.935171921157242
4000,11.869140625,6.8603515625,11.842764088767304,11.895517161232696,6.840298472097907,6.880404652902093
5000,11.73046875,6.810546875,11.704246750235574,11.756690749764426,6.7905667077679155,6.8305270422320845
6000,11.712890625,6.7763671875,11.686688279454273,11.739092970545727,6.75643721997059,6.79629715502941
7000,11.634765625,6.7763671875,11.608650810500771,11.660880439499229,6.75643721997059,6.79629715502941
8000,11.6171875,6.7734375,11.591092420448843,11.643282579551157,6.753511841187002,6.793363158812998
9000,11.572265625,6.7275390625,11.546221047143673,11.598310202856327,6.707681028965231,6.747397096034769
10000,11.638671875,6.748046875,11.61255267698173,11.66479107301827,6.728158597497732,6.767935152502268
11000,11.572265625,6.7177734375,11.546221047143673,11.598310202856327,6.6979298220558094,6.7376170529441906
12000,11.544921875,6.7548828125,11.51890808530693,11.57093566469307,6.734984463890455,6.774781161109545
13000,11.53515625,6.7412109375,11.509153464914085,11.561159035085915,6.721332736207441,6.761089138792559
14000,11.44140625,6.705078125,11.415509347071232,11.467303152928768,6.685253268749965,6.724902981250035
15000,11.490234375,6.70703125,11.464282271209415,11.516186478790585,6.6872035065648845,6.7268589934351155
16000,11.611328125,6.6865234375,11.585239627082363,11.637416622917637,6.666726030508439,6.706320844491561
17000,11.4921875,6.7158203125,11.466233190616942,11.518141809383058,6.695979581931225,6.735661043068775
18000,11.55078125,6.671875,11.5247608597766,11.5768016402234,6.652099290388638,6.691650709611362
19000,11.578125,6.69140625,11.552073829414075,11.604176170585925,6.67160161583082,6.71121088416918
20000,11.419921875,6.6748046875,11.394049297761432,11.445794452238568,6.6550246365085535,6.6945847384914465
21000,11.5,6.6591796875,11.47403687012072,11.52596312987928,6.639422801559384,6.678936573440616
22000,11.4921875,6.6669921875,11.466233190616942,11.518141809383058,6.647223715640815,6.686760659359185
23000,11.51953125,6.6630859375,11.493546081979174,11.545516418020826,6.6433232577510655,6.6828486172489345
24000,11.462890625,6.65625,11.436969419209406,11.488811830790594,6.636497460530879,6.676002539469121
25000,11.4296875,6.654296875,11.403803862795451,11.455571137204549,6.6345472337099665,6.6740465162900335
26000,11.5546875,6.6728515625,11.528662710353082,11.580712289646918,6.653074405656055,6.692628719343945
27000,11.443359375,6.6484375,11.417460261777803,11.469258488222197,6.628696555800131,6.668178444199869
28000,11.556640625,6.6533203125,11.53061363592019,11.58266761407981,6.633572120459008,6.673068504540992
29000,11.42578125,6.6787109375,11.399902036214641,11.451660463785359,6.658925099483564,6.698496775516436
30000,11.41796875,6.669921875,11.392098385322024,11.443839114677976,6.650149060171588,6.689694689828412
31000,11.486328125,6.619140625,11.460380432956796,11.512275817043204,6.5994432238519005,6.6388380261480995
32000,11.490234375,6.681640625,11.464282271209415,11.516186478790585,6.661850447825351,6.701430802174649
33000,11.421875,6.6494140625,11.396000210390037,11.447749789609963,6.629671668519039,6.669156456480961
34000,11.484375,6.6611328125,11.458429514111803,11.510320485888197,6.641373029442873,6.680892595557127
35000,11.443359375,6.6611328125,11.417460261777803,11.469258488222197,6.641373029442873,6.680892595557127
