step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2857425212860107,3.0611867904663086,3.1747190308849964,2.954024243270412,3.396766011687025,3.1683493376622054
1,3.2857425212860107,3.0611867904663086,3.1747190308849964,2.954024243270412,3.396766011687025,3.1683493376622054
2,3.2857322692871094,3.059504508972168,3.1747089520910223,2.9523714115219315,3.3967555864831964,3.1666376064224044
4,3.2853846549987793,2.9879212379455566,3.1743672108180556,2.882048855695574,3.396402099179503,3.093793620195539
8,3.283905506134033,2.6993770599365234,3.172913055954131,2.5987465000296033,3.3948979563139354,2.8000076198434436
16,3.3015873432159424,2.1262924671173096,3.19029648071563,2.03698050861878,3.4128782057162548,2.215604425615839
32,3.3329174518585205,1.8278359174728394,3.221099793962852,1.7450289812920696,3.444735109754189,1.910642853653609
64,3.3350470066070557,1.6769822835922241,3.2231936316852123,1.5976660012660582,3.446900381528899,1.75629856591839
128,3.650463581085205,0.8580988049507141,3.533440339857307,0.8013617536393461,3.7674868223131033,0.9148358562620821
256,3.841510057449341,1.531754493713379,3.7214636687310185,1.4559503939944818,3.961556446167663,1.607558593432276
1000,5.4370598793029785,4.54770040512085,5.294242792286961,4.4170851100450435,5.579876966318996,4.678315700196656
2000,6.732570648193359,5.840481281280518,6.573646983026564,5.692460589053989,6.8914943133601545,5.988501973507046
4000,7.380762100219727,6.465179920196533,7.214363864868911,6.309444133726891,7.547160335570542,6.6209157066661755
8000,7.9404168128967285,7.024832248687744,7.767825169990519,6.862495781076723,8.113008455802937,7.187168716298765
16000,8.227472305297852,7.303466796875,8.051788662788608,7.137942160572283,8.403155947807095,7.468991433177717
33000,8.388995170593262,7.542496204376221,8.21159538733402,7.374284712409585,8.566394953852503,7.7107076963428565
66000,8.648479461669922,7.841579914093018,8.468356950969675,7.670065786323377,8.82860197237017,8.013094041862658
131000,8.859188079833984,8.292000770568848,8.676884551725482,8.115629525975965,9.041491607942486,8.46837201516173
143000,8.979157447814941,8.455739974975586,8.795623711399408,8.277635872823272,9.162691184230475,8.6338440771279
